LINEUPS,PPM,PFPM,TOVPM,BLKPM,STLPM,ASTPM,REBPM,DRBPM,ORBPM,FGPM,FGAPM,PM3P,PM3PA,PFDPM,plus_minusPM,FT%
".R. Westbrook, .P. George, .S. Adams, .J. Grant, .T. Ferguson",2.44722524483134,0.449401523394995,0.294885745375408,0.0848748639825898,0.194776931447225,0.549510337323177,1.0272034820457,0.771490750816104,0.255712731229597,0.94341675734494,1.97062023939064,0.247007616974973,0.616974972796518,0.422198041349293,0.174102285092492,0.707616707616708
".R. Westbrook, .T. Gibson, .A. Roberson, .S. Adams, .V. Oladipo",2.24519230769231,0.341346153846154,0.317307692307692,0.120192307692308,0.245192307692308,0.567307692307692,1.04326923076923,0.721153846153846,0.322115384615385,0.927884615384615,1.88461538461538,0.134615384615385,0.432692307692308,0.370192307692308,0.230769230769231,0.630952380952381
".S. Hawes, .M. Belinelli, .R. Sessions, .M. Kidd-Gilchrist, .F. Kaminsky",2.15189873417722,0.367088607594937,0.265822784810127,0.0886075949367089,0.177215189873418,0.69620253164557,0.860759493670886,0.721518987341772,0.139240506329114,0.886075949367089,1.78481012658228,0.164556962025316,0.544303797468354,0.417721518987342,-0.10126582278481,0.515151515151515
".S. Hawes, .M. Belinelli, .R. Sessions, .N. Batum, .F. Kaminsky",2.36065573770492,0.295081967213115,0.245901639344262,0.0655737704918033,0.114754098360656,0.688524590163934,0.819672131147541,0.770491803278688,0.0491803278688525,0.852459016393443,1.70491803278689,0.245901639344262,0.573770491803279,0.426229508196721,0.0327868852459016,0.892857142857143
".S. Ibaka, .B. Biyombo, .E. Fournier, .E. Payton, .A. Gordon",2.03529411764706,0.329411764705882,0.223529411764706,0.141176470588235,0.152941176470588,0.376470588235294,0.917647058823529,0.682352941176471,0.235294117647059,0.764705882352941,1.74117647058824,0.164705882352941,0.423529411764706,0.458823529411765,0.0235294117647059,0.604166666666667
".S. Ibaka, .D. DeRozan, .D. Carroll, .J. Valanciunas, .C. Joseph",2.09012875536481,0.36480686695279,0.291845493562232,0.141630901287554,0.141630901287554,0.424892703862661,0.987124463519313,0.742489270386266,0.244635193133047,0.832618025751073,1.76824034334764,0.158798283261803,0.44206008583691,0.330472103004292,0.0257510729613734,0.805194805194805
".S. Ibaka, .D. DeRozan, .J. Valanciunas, .D. Wright, .O. Anunoby",2.25,0.383333333333333,0.183333333333333,0.0833333333333333,0.0833333333333333,0.45,0.95,0.733333333333333,0.216666666666667,0.866666666666667,1.81666666666667,0.0833333333333333,0.366666666666667,0.433333333333333,0.0666666666666667,0.8125
".S. Ibaka, .D. Green, .K. Leonard, .P. Siakam, .F. VanVleet",2.54545454545455,0.368983957219251,0.229946524064171,0.117647058823529,0.0802139037433155,0.491978609625668,0.957219251336898,0.770053475935829,0.18716577540107,0.893048128342246,1.74866310160428,0.251336898395722,0.598930481283422,0.433155080213904,0.32620320855615,0.818965517241379
".S. Ibaka, .J. Meeks, .N. Vucevic, .E. Payton, .A. Gordon",2.53012048192771,0.397590361445783,0.289156626506024,0.072289156626506,0.192771084337349,0.662650602409639,0.819277108433735,0.686746987951807,0.132530120481928,0.987951807228916,1.83132530120482,0.253012048192771,0.626506024096386,0.313253012048193,0.108433734939759,0.806451612903226
".S. Livingston, .A. Iguodala, .D. Cousins, .K. Thompson, .D. Green",2.22388059701493,0.477611940298507,0.358208955223881,0.223880597014925,0.238805970149254,0.671641791044776,0.880597014925373,0.701492537313433,0.17910447761194,0.91044776119403,1.71641791044776,0.223880597014925,0.597014925373134,0.462686567164179,0.238805970149254,0.666666666666667
