"","LINEUPS","PPM","PFPM","TOVPM","BLKPM","STLPM","ASTPM","REBPM","DRBPM","ORBPM","FGPM","FGAPM","PM3P","PM3PA","PFDPM","plus_minusPM","FT%"
"601",".J. Jack, .C. Lee, .L. Thomas, .E. Kanter, .K. Porzingis",2.16776315789474,0.384868421052632,0.296052631578947,0.111842105263158,0.105263157894737,0.473684210526316,0.911184210526316,0.703947368421053,0.207236842105263,0.888157894736842,1.79934210526316,0.138157894736842,0.3125,0.365131578947368,-0.115131578947368,0.846153846153846
"602",".J. Jack, .M. Beasley, .C. Lee, .E. Kanter, .T. Hardaway Jr.",2.31460674157303,0.359550561797753,0.314606741573034,0.0224719101123595,0.146067415730337,0.528089887640449,0.955056179775281,0.730337078651685,0.224719101123595,0.876404494382023,1.87640449438202,0.134831460674157,0.471910112359551,0.382022471910112,-0.337078651685393,0.926829268292683
"603",".J. Jerebko, .E. Turner, .A. Bradley, .K. Olynyk, .M. Smart",2.40601503759398,0.368421052631579,0.203007518796992,0.0601503759398496,0.240601503759398,0.556390977443609,0.819548872180451,0.616541353383459,0.203007518796992,0.894736842105263,1.83458646616541,0.285714285714286,0.639097744360902,0.466165413533835,0.481203007518797,0.771929824561403
"604",".J. Jerebko, .E. Turner, .A. Bradley, .T. Zeller, .M. Smart",2.15841584158416,0.435643564356436,0.277227722772277,0.138613861386139,0.148514851485149,0.495049504950495,0.95049504950495,0.643564356435644,0.306930693069307,0.831683168316832,1.9009900990099,0.168316831683168,0.495049504950495,0.485148514851485,0.0297029702970297,0.804878048780488
"605",".J. Jerebko, .K. Olynyk, .M. Smart, .T. Rozier, .J. Brown",1.88888888888889,0.474747474747475,0.373737373737374,0.0606060606060606,0.111111111111111,0.494949494949495,0.97979797979798,0.747474747474748,0.232323232323232,0.727272727272727,1.76767676767677,0.202020202020202,0.656565656565657,0.353535353535354,0.0101010101010101,0.793103448275862
"606",".J. Johnson, .A. Stoudemire, .D. Wade, .L. Deng, .G. Dragic",2.31472081218274,0.436548223350254,0.274111675126904,0.121827411167513,0.131979695431472,0.548223350253807,0.802030456852792,0.639593908629442,0.16243654822335,0.954314720812183,1.7005076142132,0.137055837563452,0.314720812182741,0.365482233502538,0.177664974619289,0.841269841269841
"607",".J. Johnson, .B. Diaw, .G. Hill, .R. Gobert, .R. Hood",2.18,0.36,0.18,0.12,0.14,0.44,0.64,0.56,0.08,0.8,1.6,0.24,0.6,0.36,0.18,0.894736842105263
"608",".J. Johnson, .D. Favors, .R. Hood, .J. Ingles, .D. Mitchell",2.17647058823529,0.308823529411765,0.338235294117647,0.117647058823529,0.161764705882353,0.441176470588235,0.897058823529412,0.720588235294118,0.176470588235294,0.882352941176471,1.77941176470588,0.25,0.779411764705882,0.25,0.294117647058824,0.6875
"609",".J. Johnson, .D. Wade, .H. Whiteside, .J. Winslow, .J. Richardson",2.31578947368421,0.389473684210526,0.252631578947368,0.126315789473684,0.189473684210526,0.389473684210526,0.905263157894737,0.673684210526316,0.231578947368421,0.91578947368421,1.70526315789474,0.136842105263158,0.242105263157895,0.315789473684211,0.178947368421053,0.75
"610",".J. Johnson, .D. Wade, .L. Deng, .G. Dragic, .H. Whiteside",2.3780487804878,0.414634146341463,0.231707317073171,0.195121951219512,0.109756097560976,0.5,1,0.719512195121951,0.280487804878049,0.939024390243902,1.84146341463415,0.0975609756097561,0.402439024390244,0.353658536585366,0.268292682926829,0.825
"611",".J. Johnson, .G. Hayward, .S. Mack, .R. Gobert, .J. Ingles",2.47727272727273,0.477272727272727,0.25,0.0909090909090909,0.215909090909091,0.568181818181818,0.738636363636364,0.602272727272727,0.136363636363636,0.875,1.51136363636364,0.340909090909091,0.636363636363636,0.409090909090909,0.5,0.607142857142857
"612",".J. Johnson, .G. Hill, .G. Hayward, .R. Gobert, .J. Ingles",2.11347517730496,0.276595744680851,0.26241134751773,0.0851063829787234,0.148936170212766,0.411347517730496,0.957446808510638,0.730496453900709,0.226950354609929,0.716312056737589,1.6241134751773,0.219858156028369,0.595744680851064,0.418439716312057,0.099290780141844,0.714285714285714
"613",".J. Johnson, .G. Hill, .G. Hayward, .R. Gobert, .R. Hood",2.44444444444444,0.507936507936508,0.317460317460317,0.174603174603175,0.126984126984127,0.507936507936508,0.873015873015873,0.746031746031746,0.126984126984127,0.888888888888889,1.57142857142857,0.285714285714286,0.587301587301587,0.428571428571429,0.492063492063492,0.774193548387097
"614",".J. Johnson, .H. Whiteside, .D. Waiters, .R. McGruder, .T. Johnson",1.92647058823529,0.397058823529412,0.426470588235294,0.102941176470588,0.0588235294117647,0.426470588235294,0.897058823529412,0.735294117647059,0.161764705882353,0.735294117647059,1.52941176470588,0.132352941176471,0.485294117647059,0.426470588235294,-0.191176470588235,0.611111111111111
"615",".J. Johnson, .H. Whiteside, .R. McGruder, .J. Winslow, .J. Richardson",2.10429447852761,0.337423312883436,0.282208588957055,0.098159509202454,0.110429447852761,0.539877300613497,1.00613496932515,0.754601226993865,0.251533742331288,0.858895705521472,1.93865030674847,0.233128834355828,0.656441717791411,0.245398773006135,-0.0613496932515337,0.657894736842105
"616",".J. Johnson, .H. Whiteside, .R. McGruder, .T. Johnson, .J. Richardson",2.15686274509804,0.450980392156863,0.411764705882353,0.176470588235294,0.196078431372549,0.470588235294118,0.823529411764706,0.588235294117647,0.235294117647059,0.882352941176471,1.80392156862745,0.137254901960784,0.470588235294118,0.392156862745098,0.0784313725490196,0.65
"617",".J. Johnson, .H. Whiteside, .T. Johnson, .J. Winslow, .J. Richardson",2.31168831168831,0.337662337662338,0.363636363636364,0.142857142857143,0.181818181818182,0.662337662337662,0.974025974025974,0.831168831168831,0.142857142857143,0.948051948051948,1.7012987012987,0.246753246753247,0.558441558441558,0.298701298701299,0.220779220779221,0.619047619047619
"618",".J. Johnson, .J. Jack, .T. Young, .B. Lopez, .B. Bogdanovic",2.09427609427609,0.353535353535354,0.31986531986532,0.0707070707070707,0.151515151515152,0.501683501683502,0.922558922558923,0.65993265993266,0.262626262626263,0.845117845117845,1.79124579124579,0.124579124579125,0.397306397306397,0.296296296296296,-0.0841750841750842,0.805825242718447
"619",".J. Johnson, .J. Jack, .T. Young, .B. Lopez, .M. Brown",2.18181818181818,0.409090909090909,0.303030303030303,0.0606060606060606,0.0757575757575758,0.575757575757576,0.893939393939394,0.636363636363636,0.257575757575758,0.893939393939394,1.68181818181818,0.0909090909090909,0.363636363636364,0.46969696969697,-0.121212121212121,0.714285714285714
"620",".J. Johnson, .J. Jack, .T. Young, .B. Lopez, .R. Hollis-Jefferson",2.05,0.354545454545455,0.336363636363636,0.1,0.204545454545455,0.436363636363636,1.08636363636364,0.809090909090909,0.277272727272727,0.813636363636364,1.82727272727273,0.0863636363636364,0.240909090909091,0.340909090909091,0,0.787234042553192
"621",".J. Johnson, .J. Jack, .T. Young, .B. Lopez, .W. Ellington",1.88524590163934,0.459016393442623,0.213114754098361,0.0491803278688525,0.245901639344262,0.475409836065574,0.770491803278688,0.540983606557377,0.229508196721311,0.721311475409836,1.91803278688525,0.163934426229508,0.426229508196721,0.344262295081967,-0.409836065573771,0.80952380952381
"622",".J. Johnson, .T. Young, .B. Lopez, .B. Bogdanovic, .S. Larkin",2.12621359223301,0.407766990291262,0.271844660194175,0.058252427184466,0.116504854368932,0.456310679611651,0.980582524271845,0.757281553398058,0.223300970873786,0.805825242718447,1.69902912621359,0.145631067961165,0.436893203883495,0.310679611650485,0.0776699029126214,0.844444444444444
