"","LINEUPS","MIN","PTS","FGM","FGA","3PM","3PA","FTM","FTA","OREB","DREB","REB","AST","TOV","STL","BLK","BLKA","PF","PFD","+/-"
"218",".C. Paul, .R. Anderson, .L. Mbah a Moute, .J. Harden, .C. Capela",59,145,52,103,20,49,21,24,11,43,54,27,11,15,4,5,12,20,30
"219",".C. Watson, .S. Ibaka, .N. Vucevic, .E. Payton, .A. Gordon",112,240,97,211,12,47,34,45,21,71,92,61,29,22,5,10,50,45,-32
"220",".D. Arthur, .G. Harris, .J. Sampson, .N. Jokic, .E. Mudiay",90,167,67,179,9,32,24,32,29,62,91,40,23,14,10,17,35,29,-53
"221",".D. Augustin, .B. Biyombo, .E. Fournier, .J. Simmons, .M. Hezonja",82,177,66,144,16,50,29,34,16,50,66,44,27,18,4,10,27,29,-24
"222",".D. Augustin, .D. Arthur, .W. Barton, .J. Lauvergne, .A. Toupane",65,149,57,109,15,31,20,23,7,49,56,36,19,7,3,3,26,25,17
"223",".D. Augustin, .D. Arthur, .W. Barton, .J. Lauvergne, .G. Harris",54,117,45,92,11,31,16,22,6,27,33,28,21,11,3,4,28,20,-30
"224",".D. Augustin, .N. Vucevic, .A. Gordon, .M. Hezonja, .W. Iwundu",99,183,75,184,14,62,19,28,14,75,89,56,33,23,11,12,29,30,-16
"225",".D. Augustin, .N. Vucevic, .E. Fournier, .A. Gordon, .J. Isaac",852,1911,747,1586,183,526,234,296,191,647,838,481,248,128,94,71,245,317,48
"226",".D. Augustin, .N. Vucevic, .E. Fournier, .A. Gordon, .W. Iwundu",199,468,187,369,46,120,48,59,33,135,168,124,51,29,21,22,75,73,27
"227",".D. Augustin, .N. Vucevic, .E. Fournier, .J. Isaac, .W. Iwundu",103,267,98,213,28,76,43,45,28,74,102,59,20,18,17,7,35,38,42
"228",".D. Augustin, .N. Vucevic, .E. Fournier, .J. Simmons, .A. Gordon",301,679,261,542,80,203,77,108,40,216,256,171,87,44,25,24,103,108,13
"229",".D. Augustin, .N. Vucevic, .E. Fournier, .J. Simmons, .J. Isaac",77,195,72,144,23,54,28,31,15,42,57,52,17,11,8,9,30,27,-5
"230",".D. Augustin, .N. Vucevic, .J. Simmons, .M. Hezonja, .J. Isaac",85,168,63,140,16,43,26,27,9,58,67,34,31,12,7,6,29,31,-35
"231",".D. Augustin, .N. Vucevic, .T. Ross, .E. Fournier, .A. Gordon",310,746,276,572,87,236,107,137,59,222,281,179,89,39,37,33,132,123,94
"232",".D. Augustin, .N. Vucevic, .T. Ross, .E. Fournier, .J. Isaac",137,310,121,267,27,86,41,55,39,107,146,72,36,17,17,14,49,48,13
"233",".D. Augustin, .N. Vucevic, .T. Ross, .J. Isaac, .W. Iwundu",95,218,81,179,26,69,30,38,22,70,92,50,22,14,7,7,33,31,-4
"234",".D. Augustin, .S. Ibaka, .B. Biyombo, .E. Fournier, .A. Gordon",196,389,153,341,37,113,46,69,29,126,155,93,48,16,22,21,81,61,-39
"235",".D. Augustin, .S. Ibaka, .J. Meeks, .B. Biyombo, .A. Gordon",61,131,52,106,16,42,11,18,14,33,47,28,18,11,10,5,20,20,-3
"236",".D. Augustin, .S. Ibaka, .N. Vucevic, .E. Fournier, .A. Gordon",76,187,73,143,23,45,18,27,17,59,76,46,17,13,10,6,29,22,34
"237",".D. Augustin, .W. Barton, .J. Lauvergne, .J. Nurkic, .A. Toupane",81,192,77,147,16,40,22,33,24,52,76,46,22,10,13,9,40,36,30
"238",".D. Booker, .D. Bender, .M. Bridges, .D. Melton, .D. Ayton",64,152,60,107,16,37,16,24,7,42,49,34,23,12,9,4,24,25,4
