"","LINEUPS","MIN","PTS","FGM","FGA","3PM","3PA","FTM","FTA","OREB","DREB","REB","AST","TOV","STL","BLK","BLKA","PF","PFD","+/-"
"542",".K. Korver, .D. Favors, .J. Crowder, .R. O'Neale, .D. Mitchell",52,106,38,100,11,41,19,23,15,37,52,22,20,4,9,10,26,19,-11
"543",".K. Korver, .D. Howard, .K. Bazemore, .D. Schroder, .M. Muscala",77,172,71,136,10,31,20,33,16,58,74,43,31,16,16,6,28,34,-2
"544",".K. Korver, .D. Howard, .P. Millsap, .K. Bazemore, .D. Schroder",206,406,163,378,34,105,46,71,51,139,190,107,72,41,22,26,72,81,-37
"545",".K. Korver, .J. Crowder, .R. Gobert, .R. O'Neale, .D. Mitchell",150,337,116,271,43,126,62,79,31,123,154,73,51,24,23,11,62,63,16
"546",".K. Korver, .J. Green, .J. Clarkson, .R. Hood, .L. Nance Jr.",50,108,41,93,9,32,17,21,10,37,47,20,11,9,6,3,28,20,8
"547",".K. Korver, .R. Rubio, .J. Crowder, .R. Gobert, .D. Mitchell",78,164,60,141,28,70,16,21,13,52,65,48,31,16,8,4,34,22,-41
"548",".K. Koufos, .B. Bogdanovic, .W. Cauley-Stein, .B. Hield, .F. Mason",92,189,77,167,15,38,20,29,20,62,82,45,17,14,8,10,32,28,9
"549",".K. Koufos, .B. Hield, .S. Labissiere, .D. Fox, .J. Jackson",55,105,41,96,10,19,13,20,7,39,46,24,14,6,2,0,28,26,-30
"550",".K. Love, .B. Knight, .C. Osman, .A. Zizic, .C. Sexton",109,266,97,205,41,90,31,38,19,89,108,56,31,7,5,9,33,45,12
"551",".K. Love, .B. Knight, .L. Nance Jr., .C. Osman, .C. Sexton",70,146,54,129,18,52,20,27,18,55,73,31,21,5,1,9,26,22,-21
"552",".K. Love, .G. Hill, .T. Thompson, .R. Hood, .C. Osman",61,142,55,125,11,30,21,29,28,47,75,34,20,5,2,9,19,28,-4
"553",".K. Lowry, .D. Carroll, .P. Patterson, .J. Valanciunas, .N. Powell",64,159,61,111,16,37,21,26,12,48,60,31,17,11,7,9,20,25,28
"554",".K. Lowry, .D. DeRozan, .D. Carroll, .J. Valanciunas, .L. Nogueira",108,248,92,193,15,46,49,59,30,80,110,46,28,21,14,12,42,45,27
"555",".K. Lowry, .D. DeRozan, .D. Carroll, .J. Valanciunas, .N. Powell",62,134,48,99,12,26,26,32,6,37,43,20,24,13,7,6,25,28,-14
"556",".K. Lowry, .D. DeRozan, .D. Carroll, .J. Valanciunas, .P. Siakam",365,762,301,635,51,131,109,127,86,219,305,147,109,62,32,40,137,114,-89
"557",".K. Lowry, .D. DeRozan, .D. Carroll, .P. Patterson, .J. Valanciunas",147,382,132,260,37,81,81,98,41,102,143,76,34,22,14,11,46,75,90
"558",".K. Lowry, .D. DeRozan, .J. Valanciunas, .N. Powell, .P. Siakam",70,147,58,117,14,25,17,28,8,39,47,31,20,17,3,4,28,22,-9
"559",".K. Lowry, .D. DeRozan, .P. Patterson, .J. Valanciunas, .T. Ross",52,145,47,88,13,29,38,52,5,35,40,21,10,6,3,5,25,32,39
"560",".K. Lowry, .D. Green, .J. Valanciunas, .K. Leonard, .P. Siakam",140,370,137,259,35,83,61,75,26,110,136,80,38,26,11,9,57,67,68
"561",".K. Lowry, .M. Gasol, .D. Green, .K. Leonard, .P. Siakam",161,416,155,291,52,119,54,64,18,115,133,110,39,31,13,9,48,63,50
"562",".K. Lowry, .P. Patterson, .C. Joseph, .T. Ross, .L. Nogueira",199,458,170,350,64,137,54,72,50,117,167,90,53,37,24,14,81,78,55
"563",".K. Lowry, .S. Ibaka, .D. DeRozan, .J. Poeltl, .O. Anunoby",51,128,44,99,12,34,28,36,14,37,51,22,16,2,6,2,23,34,-6
"564",".K. Lowry, .S. Ibaka, .D. DeRozan, .J. Valanciunas, .D. Wright",65,147,50,102,12,29,35,43,10,41,51,29,22,10,13,5,36,32,-7
"565",".K. Lowry, .S. Ibaka, .D. DeRozan, .J. Valanciunas, .F. VanVleet",101,272,88,183,28,64,68,79,23,83,106,44,17,9,5,6,40,55,58
"566",".K. Lowry, .S. Ibaka, .D. DeRozan, .J. Valanciunas, .M. Miller",59,127,45,108,14,44,23,29,27,47,74,26,24,7,11,5,23,26,9
"567",".K. Lowry, .S. Ibaka, .D. DeRozan, .J. Valanciunas, .N. Powell",272,609,222,474,67,191,98,128,45,192,237,139,83,30,21,20,123,119,-23
"568",".K. Lowry, .S. Ibaka, .D. DeRozan, .J. Valanciunas, .O. Anunoby",801,1887,708,1454,203,523,268,330,161,632,793,428,233,105,88,71,326,313,167
"569",".K. Lowry, .S. Ibaka, .D. Green, .K. Leonard, .P. Siakam",547,1319,499,1025,131,374,190,226,120,408,528,304,139,90,62,40,198,235,105
"570",".K. Lowry, .S. Ibaka, .D. Green, .P. Siakam, .F. VanVleet",187,453,170,346,57,134,56,65,37,141,178,126,44,26,24,21,58,66,59
"571",".K. Lowry, .S. Ibaka, .K. Leonard, .P. Siakam, .F. VanVleet",70,158,49,119,18,51,42,52,21,50,71,28,18,18,3,6,29,40,7
"572",".K. Middleton, .T. Snell, .G. Antetokounmpo, .M. Dellavedova, .T. Maker",99,208,74,164,21,60,39,50,14,76,90,42,20,10,11,7,34,44,24
"573",".K. Middleton, .T. Snell, .G. Antetokounmpo, .T. Maker, .M. Brogdon",230,504,187,387,61,135,69,85,31,146,177,120,55,41,24,16,91,80,28
"574",".L. Aldridge, .D. DeRozan, .D. Bertans, .B. Forbes, .D. White",138,359,138,250,30,66,53,61,14,102,116,82,29,23,18,12,44,58,75
"575",".L. Aldridge, .D. DeRozan, .D. Cunningham, .B. Forbes, .D. White",91,167,66,159,10,32,25,28,16,66,82,34,26,11,12,7,30,39,-35
